id,title,parent_id,path,source_id,taxonomy_id,item_id
24778,Cancer cell biology,24775,/24457/24775/24778,321101,100,22678552
29161,Deep learning,29152,/28798/29152/29161,461103,100,22678738
29161,Deep learning,29152,/28798/29152/29161,461103,100,22678735
25906,Physical oceanography,25897,/25717/25897/25906,370803,100,21628370
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22655101
1,Biophysics,48,,,10,22677066
4,Biochemistry,38,,,10,22677066
7,Medicine,48,,,10,22677066
8,Microbiology,48,,,10,22677066
12,Cell Biology,48,,,10,22677066
13,Genetics,48,,,10,22677066
14,Molecular Biology,48,,,10,22677066
21,Biotechnology,48,,,10,22677066
24,Evolutionary Biology,48,,,10,22677066
873,Chemical Sciences not elsewhere classified,38,,,10,22677066
734,Biological Sciences not elsewhere classified,48,,,10,22677066
61,Developmental Biology,48,,,10,22677066
64,Cancer,48,,,10,22677066
132,Infectious Diseases,48,,,10,22677066
133,Plant Biology,48,,,10,22677066
134,Virology,48,,,10,22677066
25969,Financial economics,25948,/25945/25948/25969,380107,100,22674865
24310,Genomics,24283,/24130/24283/24310,310509,100,22344424
24193,Genomics and transcriptomics,24181,/24130/24181/24193,310204,100,22344424
26017,Econometric and statistical methods,26011,/25945/26011/26017,380202,100,19181585
26002,Urban and regional economics,25948,/25945/25948/26002,380118,100,19181585
25024,"Housing markets, development and management",25015,/24895/25015/25024,330403,100,19181585
24178,Biochemistry and cell biology not elsewhere classified,24133,/24130/24133/24178,310199,100,22674100
24208,Bioinformatics and computational biology not elsewhere classified,24181,/24130/24181/24208,310299,100,22674100
28864,Artificial intelligence not elsewhere classified,28825,/28798/28825/28864,460299,100,22116878
29164,Neural networks,29152,/28798/29152/29164,461104,100,22116878
29884,Probability theory,29866,/29746/29866/29884,490506,100,22116878
24358,Microbial ecology,24349,/24130/24349/24358,310703,100,22657339
24361,Microbial genetics,24349,/24130/24349/24361,310704,100,22657339
26299,Biomedical engineering not elsewhere classified,26263,/26212/26263/26299,400399,100,22671598
26299,Biomedical engineering not elsewhere classified,26263,/26212/26263/26299,400399,100,22671265
24235,Terrestrial ecology,24211,/24130/24211/24235,310308,100,22670593
24466,Haematology,24460,/24457/24460/24466,320102,100,13082231
24319,Genetics not elsewhere classified,24283,/24130/24283/24319,310599,100,22666534
26758,"Dynamics, vibration and vibration control",26752,/26212/26752/26758,401702,100,22595950
30121,Atomic and molecular physics,30118,/30082/30118/30121,510201,100,22633528
24169,Structural biology (incl. macromolecular modelling),24133,/24130/24133/24169,310112,100,22633528
25237,Molecular imaging (incl. electron microscopy and neutron diffraction),25222,/25066/25222/25237,340605,100,22633528
24184,Bioinformatic methods development,24181,/24130/24181/24184,310201,100,22664104
26998,Other environmental sciences not elsewhere classified,26995,/26863/26995/26998,419999,100,22664086
27670,Defence studies,27658,/27391/27658/27670,440804,100,22662757
27691,Political theory and political philosophy,27658,/27391/27658/27691,440811,100,22662757
27682,International relations,27658,/27391/27658/27682,440808,100,22662757
27670,Defence studies,27658,/27391/27658/27670,440804,100,22404952
27691,Political theory and political philosophy,27658,/27391/27658/27691,440811,100,22404952
