,title
1011,Implementation science and evaluation
1012,Health systems
1013,Chemical engineering not elsewhere classified
1014,Health economics
1015,Health and community services
1016,Health management
1017,Health systems
1018,Implementation science and evaluation
1019,Behavioural epidemiology
1020,Behavioural epidemiology
1021,Biological mathematics
1022,Biostatistics
1023,Applied statistics
1024,Animal behaviour
1025,Biological mathematics
1026,Mechanobiology
1027,Numerical modelling and mechanical characterisation
1028,Animal behaviour
1029,Animal structure and function
1030,Vertebrate biology
1031,Gene expression (incl. microarray and other genome-wide approaches)
1032,Biological mathematics
1033,Biostatistics
1034,Applied statistics
1035,Zoology not elsewhere classified
1036,Marine and estuarine ecology (incl. marine ichthyology)
1037,Mechanobiology
1038,Host-parasite interactions
1039,Mechanobiology
1040,Biomedical engineering not elsewhere classified
1041,Mechanobiology
1042,Ecological impacts of climate change and ecological adaptation
1043,Landscape ecology
1044,Terrestrial ecology
1045,Transport planning
1046,Population ecology
1047,Biomedical engineering not elsewhere classified
1048,Animal behaviour
1049,Behavioural ecology
1050,Animal behaviour
