item_id,author_id,full_name,orcid_id
14972463,8336991,Helene-Marie Stander,
14972463,5923184,Susan T L Harrison,0000-0002-2268-3506
14972463,6076660,Jennifer L. Broadhurst,
14973897,8336991,Helene-Marie Stander,
14973897,5923184,Susan T L Harrison,0000-0002-2268-3506
14973897,6076660,Jennifer L. Broadhurst,
16608190,11458696,Ghodeejah Higgins,
16608190,8373867,Jade Peres,
16608190,11282408,Muhammad H. Zaman,0000-0002-3723-5431
16608190,4609669,Thomas Franz,0000-0002-1504-3842
17152556,9998819,Susan Holloway,
17152556,10005953,Doug Butterworth,
21097654,13557091,Paul Lacaze,
21097654,10153028,John McNeill,
20033252,6698087,Cameron Nowell,0000-0002-8662-9840
20999185,8394756,Elizabeth Korevaar,
20999185,8400384,Simon Turner,
20999185,6209282,Andrew Forbes,
20999185,1117529,AMALIA KARAHALIOS,
20999185,8408867,Monica Taljaard,
20999185,6203459,Joanne McKenzie,
21284424,12863873,Madeleine de Jong,0000-0001-9358-5615
21284424,461823,Bob Wong,
21284424,8862611,David Chapple,
21284424,11551097,Craig White,0000-0002-0200-2187
21268050,9320594,Emma Ramsay,
21268050,3364739,Grant Duffy,0000-0002-9031-8164
21268050,6636350,Steven Chown,
21268050,2906102,Genie M. Fleming,
21268050,9348136,Ruzka Taruc,
21268050,9542984,Peter Faber,0000-0003-0369-8689
21268050,12865495,Kerrie Burge,
21259491,13894962,Abbas Salavaty Hosein Abadi,
21259491,13894968,Sara Alaei,
21259491,12281042,Mirana Ramialison,0000-0001-6315-4777
21259491,13894965,Peter Currie,
21221012,4265998,Giovanni Polverino,
21221012,13874951,Kali Buchholz,
21221012,3277464,Celine T. Goulet,
21221012,3724453,Marcus Michelangeli,
21221012,8862611,David Chapple,
20744875,3637795,Robert Bryson-Richardson,0000-0002-9501-8208
20744875,13736455,Rita Serrano,
20744875,13817084,Dashika Palipana,0000-0002-4890-7467
20744875,11928428,Georg Ramm,
20744875,13817086,Viola Oorschot,0000-0002-8122-8271
20436402,13201218,Andrew Gallagher,
21116053,8862611,David Chapple,
21116053,13798352,Lucy wotherspoon,
21116053,8299984,Reid Tingley,
21116053,5144936,Shai Meiri,
21116053,13578157,Arman Pili,
21116053,12614229,Uri Roll,
20728720,4170472,Bernhard Mueller,
21080245,13745857,Jules Farquhar,0000-0002-1894-7580
21080245,13773330,Amelia Carlesso,
21080245,13773518,Nicholas Gale,
21080245,8862611,David Chapple,
21007033,6246767,Ryan Wick,
17080664,8146581,Avishikta Chakraborty,
17080664,6739392,Carla Sgrò,
17080664,3075144,Christen Mirth,0000-0002-9765-4021
